,Symbol,1M return,3M return,6M return,1Y return,1M return percentile,3M return percentile,6M return percentile,1Y return percentile,HQM Score,Close Price,Num_shares_to_buy
0,KKR,0.3316943866881197,0.5411763909963481,0.6658472603273284,1.38226508079756,0.9900596421471174,0.9880715705765408,0.9781312127236581,0.992047713717694,0.9870775347912526,138.24000549316406,72337
1,GDDY,0.3621018078632616,0.48380072636074267,0.6898992776585544,1.2304656703725554,0.996023856858847,0.9781312127236581,0.9840954274353878,0.9821073558648112,0.9850894632206761,166.8000030517578,59952
2,RCL,0.260232242464977,0.48188114911373536,0.6121731750048267,1.3658967214181157,0.9701789264413521,0.9741550695825051,0.9662027833001988,0.9900596421471174,0.9751491053677933,206.35000610351562,48461
3,DVA,0.3101755667071515,0.38842966494506004,0.7144886374831805,1.1283574654962978,0.9801192842942347,0.9363817097415508,0.9880715705765408,0.9801192842942347,0.9711729622266402,139.80999755859375,71525
4,CTLT,0.20727153839934953,0.6482287263060242,0.7339962308230856,0.873213120187619,0.9383697813121273,0.996023856858847,0.9900596421471174,0.9363817097415508,0.9652087475149106,58.599998474121094,170648
5,UBER,0.28633353211882673,0.5249827411718859,0.5813368620369477,0.8685831189687645,0.9741550695825051,0.9860834990059643,0.9562624254473161,0.9343936381709742,0.9627236580516899,72.05000305175781,138792
6,CRWD,0.3287916870359586,0.6896551488123308,0.6709839014005936,0.7170730572144264,0.9860834990059643,0.9980119284294235,0.9801192842942347,0.8807157057654077,0.9612326043737576,296.8699951171875,33684
7,FITB,0.22410153191954008,0.4955602326594377,0.5568710481489809,0.9019027597359239,0.9522862823061631,0.9821073558648112,0.9483101391650101,0.9483101391650101,0.9577534791252486,43.68000030517578,228937
8,URI,0.1624987209194091,0.5702353307063346,0.6873106485611233,1.066181437088129,0.8469184890656064,0.9900596421471174,0.9821073558648112,0.9681908548707754,0.9468190854870776,812.7999877929688,12303
9,CFG,0.17695297229043128,0.48079418473523416,0.5105740131528842,0.830384104780528,0.8886679920477139,0.9721669980119284,0.9343936381709742,0.9244532803180916,0.9299204771371771,42.119998931884766,237416
10,AXP,0.1660635563742201,0.39399111062210634,0.6189826633271309,0.92338681150899,0.8588469184890657,0.9403578528827039,0.9681908548707754,0.9502982107355865,0.9294234592445328,270.0799865722656,37026
11,SYF,0.15695392938036368,0.4193779670199833,0.5967107952730204,1.020736569370516,0.8349900596421471,0.9582504970178927,0.9582504970178927,0.9662027833001988,0.9294234592445328,55.13999938964844,181356
12,EXPE,0.46006215907701287,0.6266753155499543,0.46081274690523677,0.6172402891268245,1.0,0.9940357852882704,0.9065606361829026,0.801192842942346,0.9254473161033797,156.30999755859375,63975
13,FICO,0.24869400082689297,0.37436718218958265,0.3704635501706348,1.355687266560622,0.9662027833001988,0.9264413518886679,0.8190854870775348,0.9880715705765408,0.9249502982107356,1993.1099853515625,5017
14,TPR,0.19104926267597833,0.4840165046269167,0.4813839474842858,0.7096652434598887,0.9204771371769384,0.9801192842942347,0.9224652087475149,0.8767395626242545,0.9249502982107356,47.45000076293945,210748
15,KEY,0.22068973487477184,0.47783256785698414,0.4394088872677988,0.7438425052376925,0.9443339960238569,0.9681908548707754,0.882703777335984,0.8946322067594434,0.922465208747515,17.25,579710
16,MPWR,0.20185731040245947,0.3435692706114304,0.4463378972896601,0.9820834222894645,0.9304174950298212,0.900596421471173,0.8926441351888669,0.9642147117296223,0.9219681908548709,759.2999877929688,13170
17,CCL,0.33274337747044846,0.45752203852692164,0.34336283619023544,0.8938052440102306,0.992047713717694,0.9662027833001988,0.7872763419483101,0.9423459244532804,0.9219681908548707,22.0,454545
18,EFX,0.2982111548938169,0.48008354937819653,0.3493142689151876,0.7290399328067327,0.9761431411530817,0.9701789264413521,0.7972166998011929,0.8926441351888669,0.9090457256461234,265.0199890136719,37733
19,NCLH,0.1656488559621314,0.3480915521493131,0.4770992227481754,0.8748090649434725,0.8568588469184891,0.9065606361829026,0.9165009940357853,0.9383697813121273,0.904572564612326,25.34000015258789,394632
20,NVDA,0.10502066425752599,0.4831422830230421,0.9523213773107289,2.2066154465268633,0.6322067594433399,0.9761431411530817,0.996023856858847,0.9980119284294235,0.900596421471173,132.75999450683594,75323
21,BLDR,0.1416531813801991,0.5017451419845447,0.5770834475328632,0.687664918190708,0.7852882703777336,0.9840954274353878,0.9542743538767396,0.8628230616302187,0.89662027833002,171.39999389648438,58343
22,C,0.16414142046615954,0.4416667260706246,0.5603536185969198,0.6224748099924269,0.8528827037773361,0.9622266401590458,0.9502982107355865,0.8111332007952287,0.8941351888667993,64.16999816894531,155836
23,DAL,0.1870780964526142,0.27033107304452386,0.6033429794121623,0.8100289382364843,0.9105367793240557,0.7833001988071571,0.9622266401590458,0.9145129224652088,0.8926441351888669,57.220001220703125,174764
24,WDC,0.15740295713053665,0.39242924280638625,0.663631999258629,0.6241015378420411,0.8369781312127238,0.9383697813121273,0.9761431411530817,0.8151093439363818,0.8916500994035786,65.30999755859375,153115
25,ZBRA,0.19692908304768553,0.2672862099131188,0.47749881642079806,0.8965603797256578,0.9264413518886679,0.7733598409542743,0.9184890656063619,0.9443339960238569,0.8906560636182903,381.9700012207031,26180
26,PHM,0.14489180791945588,0.3666968595603679,0.4419266576446932,0.9008157020697367,0.801192842942346,0.9244532803180916,0.8866799204771373,0.9463220675944335,0.8896620278330021,129.52999877929688,77202
27,RL,0.16087939367909643,0.3141319939370102,0.49780168009609005,0.8136384963445336,0.8409542743538768,0.8687872763419483,0.9304174950298212,0.9184890656063619,0.889662027833002,197.92999267578125,50522
28,GM,0.12857144219534722,0.36250005449567513,0.629285676138742,0.7503570829119002,0.7594433399602386,0.9204771371769384,0.9701789264413521,0.89662027833002,0.8866799204771372,50.7599983215332,197005
29,PWR,0.17973940182333004,0.23574743787697772,0.5987345586250294,0.9560206162860845,0.8946322067594434,0.7097415506958251,0.9602385685884692,0.9602385685884692,0.8812127236580517,301.6300048828125,33153
30,FIS,0.18993508202528164,0.2814529847839391,0.4299919433096333,0.8220374013736622,0.9165009940357853,0.7972166998011929,0.8767395626242545,0.9224652087475149,0.8782306163021869,89.7300033569336,111445
31,HWM,0.17620744718964665,0.25178886435987713,0.44901612886715614,1.3548746575132107,0.8846918489065607,0.7455268389662028,0.8946322067594434,0.9860834990059643,0.8777335984095428,99.72000122070312,100280
32,IT,0.31007465276740187,0.4025668525898616,0.34463117469041804,0.5999637746285393,0.9781312127236581,0.9483101391650101,0.7932405566600399,0.7912524850894633,0.8777335984095428,502.5,19900
33,PH,0.16927144235281721,0.28987497982834953,0.48292710090587376,0.7207330643999414,0.8767395626242545,0.8250497017892644,0.9244532803180916,0.8846918489065607,0.8777335984095428,634.0700073242188,15771
34,TDG,0.16240911207975728,0.3109832993688333,0.5169856765522935,0.6708958898717559,0.84493041749503,0.8667992047713718,0.9383697813121273,0.848906560636183,0.874751491053678,1302.300048828125,7678
35,ISRG,0.14930121333498403,0.39499379007999313,0.3795755635049669,0.7621460156595847,0.8170974155069582,0.9443339960238569,0.8330019880715706,0.900596421471173,0.8737574552683898,503.8399963378906,19847
36,GE,0.13566431459627792,0.24876451236699837,0.8839978636341119,1.245235693711022,0.779324055666004,0.7355864811133201,0.9940357852882704,0.9840954274353878,0.8732604373757457,171.77999877929688,58213
37,PNC,0.18068048470661457,0.35950997042718624,0.3775780390707564,0.6739819690495079,0.8986083499005965,0.9145129224652088,0.827037773359841,0.8528827037773361,0.8732604373757455,188.27000427246094,53115
38,HBAN,0.16926273053689922,0.362409110035695,0.41017650699108854,0.6448598093819966,0.874751491053678,0.9184890656063619,0.8628230616302187,0.8310139165009942,0.8717693836978132,15.59000015258789,641436
39,EXR,0.2597502744824707,0.4086905543327626,0.29517080673111473,0.6657310758457637,0.9681908548707754,0.9502982107355865,0.7176938369781313,0.8429423459244534,0.8697813121272366,163.3000030517578,61236
40,SMCI,0.08403698019984951,1.0334166703651304,2.121258972617482,0.9324533787562608,0.5049701789264414,1.0,1.0,0.9542743538767396,0.8648111332007953,29.110000610351562,343524
41,DFS,0.12604436522215345,0.3105703192059739,0.5216128313507438,0.786293804587725,0.7415506958250497,0.8628230616302187,0.9423459244532804,0.9065606361829026,0.8633200795228628,148.42999267578125,67371
42,GEN,0.3277210485853217,0.44137104768498014,0.23571859736120726,0.6939267286767208,0.9840954274353878,0.9602385685884692,0.6123260437375746,0.8687872763419483,0.8563618290258449,29.110000610351562,343524
43,LEN,0.15015282111985462,0.35829891805555647,0.3737636361191796,0.694029865080035,0.8190854870775348,0.9125248508946322,0.8210735586481114,0.8707753479125249,0.8558648111332008,170.3000030517578,58719
44,IR,0.15228259995334348,0.30037100222168367,0.4845942295120982,0.6194546970712655,0.827037773359841,0.8469184890656064,0.9264413518886679,0.8051689860834991,0.8513916500994035,96.0,104166
45,BX,0.18596308967368902,0.342480178873269,0.3019525130380123,0.6855937384049335,0.9085487077534792,0.8986083499005965,0.7355864811133201,0.8608349900596421,0.8508946322067594,167.75,59612
46,DHI,0.16806948402818045,0.31070439622034285,0.31930460129957794,0.7605671299447061,0.8707753479125249,0.8648111332007953,0.7634194831013917,0.8986083499005965,0.8494035785288271,169.0,59171
47,BAC,0.154924250442682,0.3178030840238375,0.435984863454425,0.6212121157387811,0.8310139165009942,0.874751491053678,0.878727634194831,0.8091451292246522,0.8484095427435389,41.81999969482422,239120
48,QCOM,0.16376592805540802,0.3164396837499335,0.47263057039029954,0.546397300670802,0.8508946322067595,0.8727634194831014,0.9125248508946322,0.753479125248509,0.8474155069582505,162.77000427246094,61436
49,AVGO,0.08534011112149753,0.4164654454900456,0.5175979938558053,1.073065045388255,0.5168986083499006,0.9562624254473161,0.9403578528827039,0.9741550695825051,0.8469184890656064,169.77000427246094,58903
