,Symbol,1W return,2W return,4W return,12W return,1W return percentile,2W return percentile,4W return percentile,12W return percentile,HQM Score,Close Price,Num_shares_to_buy
0,WAT,0.07457947541061816,0.10700193236285571,0.2269191876543979,0.2371901137687109,0.9980119284294235,0.9662027833001988,0.9741550695825051,0.9145129224652088,0.9632206759443341,358.4599914550781,27897
1,ULTA,0.022460038456017184,0.1637533981570125,0.20961027243340458,0.2885037936869901,0.8946322067594434,0.9980119284294235,0.9502982107355865,0.9483101391650101,0.9478131212723658,365.1700134277344,27384
2,PANW,0.021145869030087416,0.13658516075339056,0.17933752602081077,0.4464442694953765,0.8648111332007953,0.9900596421471174,0.9224652087475149,0.996023856858847,0.9433399602385686,387.0,25839
3,A,0.11089663991380738,0.12993498414648275,0.2000350478229418,0.16985429383021167,1.0,0.9761431411530817,0.9443339960238569,0.7753479125248509,0.9239562624254474,127.06999969482422,78696
4,KKR,0.016301963137775655,0.09957419258838285,0.23087093649842494,0.42502575999261305,0.7693836978131213,0.9562624254473161,0.9761431411530817,0.9900596421471174,0.9229622266401591,150.02000427246094,66657
5,CRWD,0.01410488612541716,0.1314206114343004,0.25200978155022624,0.5854234011050421,0.7216699801192843,0.9801192842942347,0.9840954274353878,0.9980119284294235,0.9209741550695826,336.75,29695
6,ENPH,0.017461941326935237,0.08142128571641027,0.2580710474004597,0.24335026620003175,0.8071570576540756,0.9324055666003978,0.992047713717694,0.9204771371769384,0.9130218687872764,59.52000045776367,168010
7,ZBRA,0.03799766544809913,0.09376987650371271,0.22508388909418575,0.14759229184126577,0.9840954274353878,0.9522862823061631,0.9721669980119284,0.7196819085487078,0.9070576540755467,385.9100036621094,25912
8,RL,0.016072458396084288,0.09023419446459635,0.15077101577013297,0.427837113017681,0.7634194831013917,0.9443339960238569,0.8707753479125249,0.992047713717694,0.892644135188867,208.3800048828125,47989
9,GDDY,0.022239072104822677,0.10126314542740023,0.13440575350095219,0.21904352280199202,0.8866799204771373,0.9602385685884692,0.8151093439363818,0.8906560636182903,0.8881709741550696,182.9199981689453,54668
10,ERIE,0.033169813368850054,0.053177515182868396,0.14411233362811005,0.2516672187448712,0.9662027833001988,0.8071570576540756,0.84493041749503,0.9324055666003978,0.8876739562624255,405.0,24691
11,JBHT,0.029180267758889045,0.06713146519977786,0.13696165819609152,0.2120769205625881,0.9423459244532804,0.8886679920477139,0.8250497017892644,0.878727634194831,0.8836978131212724,182.35000610351562,54839
12,CRL,0.033485566176919335,0.05852093616711862,0.21141027154446057,0.16632552692195657,0.9681908548707754,0.8369781312127238,0.9542743538767396,0.7713717693836979,0.8827037773359842,187.74000549316406,53265
13,TFX,0.02430960426845319,0.06026173659419798,0.1855819256573703,0.17375307735736434,0.9145129224652088,0.8508946322067595,0.9284294234592445,0.7852882703777336,0.8697813121272365,192.14999389648438,52042
14,XYL,0.030436114954824012,0.059774452833995406,0.10487977479543775,0.2403952119286854,0.9522862823061631,0.84493041749503,0.727634194831014,0.9184890656063619,0.8608349900596423,121.77999877929688,82115
15,VLTO,0.04592990251389395,0.08126059675535124,0.11433007481140867,0.1606839284048851,0.9880715705765408,0.9304174950298212,0.749502982107356,0.749502982107356,0.8543737574552686,102.68000030517578,97389
16,HAS,0.03313193233937706,0.08484443856911006,0.1278263517624123,0.1325274731656063,0.9642147117296223,0.9363817097415508,0.7892644135188867,0.6620278330019882,0.837972166998012,62.209999084472656,160745
17,DLTR,0.014878903489675688,0.09126300338247462,0.13157438828061618,0.20674742077292763,0.7375745526838966,0.9463220675944335,0.8051689860834991,0.8628230616302187,0.837972166998012,64.19999694824219,155763
18,NWS,0.03426511354485817,0.043733061316872046,0.10595132322524559,0.22678082552249168,0.9721669980119284,0.731610337972167,0.731610337972167,0.9065606361829026,0.8354870775347912,31.690000534057617,315556
19,TMO,0.046372300399988964,0.05777883328155231,0.1044709947020579,0.17423192851926061,0.9900596421471174,0.8310139165009942,0.7256461232604374,0.7872763419483101,0.8334990059642147,513.0800170898438,19490
20,CE,0.018151144859037904,0.08018676092983634,0.16412645687128147,0.14053756464271072,0.8250497017892644,0.9284294234592445,0.8906560636182903,0.6858846918489065,0.8325049701789264,73.77999877929688,135538
21,DECK,0.01205756588515916,0.08829513060678362,0.11649303333527339,0.3427273256152201,0.6600397614314116,0.9403578528827039,0.7554671968190856,0.9662027833001988,0.83051689860835,175.66000366210938,56928
22,RMD,0.01765754943717246,0.05575023015330682,0.11798158551536098,0.2210171065740727,0.8131212723658052,0.8190854870775348,0.7634194831013917,0.8946322067594434,0.8225646123260438,234.74000549316406,42600
23,NWSA,0.03430448865983582,0.04088340713403937,0.09962400674240568,0.22368421406438377,0.9741550695825051,0.6978131212723659,0.6958250497017893,0.900596421471173,0.8170974155069584,28.6200008392334,349405
24,EL,0.011923289099666556,0.07750106761681108,0.1730502488322876,0.17060024426524278,0.6580516898608351,0.9145129224652088,0.9085487077534792,0.7773359840954275,0.8146123260437377,63.75,156862
25,SYF,0.00033535308464727187,0.13447358072664506,0.24480212313106042,0.2987927544800941,0.3240556660039761,0.9840954274353878,0.9801192842942347,0.9622266401590458,0.812624254473161,64.9800033569336,153893
26,PLD,0.009009009009008917,0.06540542465072474,0.2095495000615848,0.19351347502287375,0.5805168986083499,0.878727634194831,0.9483101391650101,0.8349900596421471,0.8106361829025845,113.41999816894531,88167
27,ALGN,0.01969889484373577,0.024205497686830002,0.18477043299896634,0.3769280224563083,0.8469184890656064,0.4831013916500994,0.9264413518886679,0.9801192842942347,0.8091451292246521,223.69000244140625,44704
28,NSC,0.017631555625380102,0.06765041690477047,0.09499344530977072,0.20134832970494676,0.8111332007952287,0.8926441351888669,0.6739562624254474,0.8568588469184891,0.808648111332008,261.260009765625,38276
29,JNPR,0.015230306324298892,0.06129270482370042,0.0887815521127393,0.375557157293841,0.749502982107356,0.8588469184890657,0.6441351888667992,0.9761431411530817,0.8071570576540756,36.5099983215332,273897
30,MDT,0.050691822418238,0.06426282552318607,0.09912182790376822,0.1307875694877827,0.9940357852882704,0.8727634194831014,0.6918489065606362,0.654075546719682,0.8031809145129225,87.52999877929688,114246
31,TRV,0.03160945374601032,0.05740842111348177,0.06223120903689083,0.2463683462682824,0.9562624254473161,0.8290258449304175,0.4990059642147118,0.9264413518886679,0.8026838966202783,260.82000732421875,38340
32,DXCM,0.03661892343332562,0.0703010621005129,0.1250917526426476,0.10563511594110087,0.9781312127236581,0.8986083499005965,0.779324055666004,0.5467196819085488,0.8006958250497018,75.87999725341797,131787
33,MTD,0.041239821564857504,0.05167589226289038,0.13369838193480166,0.11836799121447084,0.9860834990059643,0.7992047713717695,0.8111332007952287,0.6063618290258449,0.8006958250497018,1179.5799560546875,8477
34,FICO,0.017204896790820046,0.07252842579965968,0.07449720078230904,0.2590328784725522,0.7972166998011929,0.904572564612326,0.5526838966202784,0.9383697813121273,0.7982107355864811,2261.0,4422
35,BX,0.005166773767266708,0.07355567924404682,0.21531234218906903,0.1994363923491329,0.4671968190854871,0.9085487077534792,0.9642147117296223,0.8508946322067595,0.797713717693837,181.41000366210938,55123
36,BBY,0.020555006802718045,0.07796208355615142,0.13522241964380344,0.10996913517324458,0.8628230616302187,0.9204771371769384,0.8210735586481114,0.5765407554671969,0.7952286282306164,92.66000366210938,107921
37,RVTY,0.022355804924041767,0.03586014451000952,0.14798003301280138,0.1774852349315783,0.8906560636182903,0.6282306163021869,0.8568588469184891,0.7972166998011929,0.7932405566600398,109.5199966430664,91307
38,DHR,0.04918734276100856,0.05899633710969643,0.07676632252263249,0.15125810715816046,0.992047713717694,0.8389662027833001,0.5745526838966203,0.7296222664015904,0.7837972166998013,230.5,43383
39,UBER,0.010410953330122652,0.04748855660495144,0.12986302484660328,0.29515988423943984,0.6143141153081512,0.7654075546719682,0.7972166998011929,0.9582504970178927,0.7837972166998012,73.25,136518
40,DFS,-0.0020701588440875662,0.09971254862148848,0.2194364864947871,0.2556642223940071,0.268389662027833,0.9582504970178927,0.9681908548707754,0.9343936381709742,0.7823061630218688,176.07000732421875,56795
41,TRMB,0.004780311473112198,0.07807876807074954,0.17846574318516906,0.1953106750911302,0.441351888667992,0.9224652087475149,0.9184890656063619,0.8429423459244534,0.7813121272365805,70.62000274658203,141602
42,BALL,0.02492446596758402,0.06382177353749685,0.1032855233244685,0.11725829289701362,0.9204771371769384,0.8707753479125249,0.7196819085487078,0.5944333996023857,0.7763419483101393,60.91999816894531,164149
43,COST,0.018181814360433313,0.026601261246132157,0.1343319923743882,0.2455234841911269,0.827037773359841,0.5288270377733599,0.8131212723658052,0.9224652087475149,0.7728628230616303,907.0700073242188,11024
44,CRM,-0.0033314084472676475,0.15488826171943848,0.16199529351801356,0.29391898669659633,0.2385685884691849,0.996023856858847,0.8846918489065607,0.9562624254473161,0.7688866799204772,325.260009765625,30744
45,ARE,0.006699817436364386,0.1307426837080814,0.24559719762884202,0.11217451392368116,0.5228628230616302,0.9781312127236581,0.9821073558648112,0.584493041749503,0.7668986083499006,105.58000183105469,94714
46,PODD,0.03690832309472425,0.06030016697456131,0.14184049152057887,0.06228626772079071,0.9801192842942347,0.8528827037773361,0.8389662027833001,0.39363817097415504,0.7664015904572564,260.1199951171875,38443
47,EFX,0.005774861456194991,0.060086843942341206,0.1673746362264752,0.1892330173601937,0.48906560636182905,0.848906560636183,0.8946322067594434,0.823061630218688,0.7639165009940359,248.27000427246094,40278
48,GM,-0.011921463784385522,0.13464235943034764,0.2528050129294428,0.3520336870399412,0.11133200795228629,0.9860834990059643,0.9860834990059643,0.9681908548707754,0.7629224652087475,57.040000915527344,175315
49,LHX,0.0242921433026817,0.04402620603800633,0.117385241801653,0.12526813141116766,0.9105367793240557,0.7335984095427436,0.7594433399602386,0.6361829025844931,0.7599403578528828,247.0,40485
